"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"45","Pemt","ENSMUSG00000000301",38.6243806223019,0.0507083399237376,0.124166942103678,0.086300918971783,0.965345623123838
"46","Cdh1","ENSMUSG00000000303",415.161305562204,0.0107423144076691,0.110975843794835,0.461915775929265,0.999967202106179
"47","Cdh4","ENSMUSG00000000305",1874.63223252791,-0.0428656362306642,0.113224857193811,0.289646887756883,0.999967202106179
"48","Ckmt1","ENSMUSG00000000308",6675.66332066282,-0.0105671520186578,0.106278939694549,0.744499973970266,0.999967202106179
"49","Bcl6b","ENSMUSG00000000317",31.2952634624065,0.025382243180819,0.112155633900866,0.327330340573376,0.999967202106179
"50","Alox12","ENSMUSG00000000320",37.1658973714075,-0.0151906556839602,0.109971652338831,0.520555143385546,0.999967202106179
"51","Arvcf","ENSMUSG00000000325",827.512255453153,-0.0459656006574142,0.112601803158961,0.296826470477189,0.999967202106179
"52","Comt","ENSMUSG00000000326",346.649647312,0.00230641136574167,0.1026646923473,0.955215636932512,0.999967202106179
"53","Rtca","ENSMUSG00000000339",499.813966474389,0.0130761245329734,0.100312707501273,0.766852057375923,0.999967202106179
"54","Dbt","ENSMUSG00000000340",323.650767402794,0.0659032598177611,0.121078229740508,0.189805306888129,0.999967202106179
"55","Dazap2","ENSMUSG00000000346",3029.35205727037,0.0021209427851604,0.107694873346415,0.943034134573205,0.999967202106179
"56","Mcts1","ENSMUSG00000000355",263.736438247167,-0.0106778802169477,0.103609225674423,0.781641042184059,0.999967202106179
"57","Rem1","ENSMUSG00000000359",17.3565931355144,-0.0179024834415595,0.112259651281002,0.234488195013229,0.999967202106179
"58","Rnf17","ENSMUSG00000000365",2.60073170749277,-0.00381052035521662,0.110858226256738,0.682149849793442,NA
"59","Trappc10","ENSMUSG00000000374",1844.49956524895,0.00277403422881946,0.104135398896031,0.942342780894636,0.999967202106179
"60","Ccm2","ENSMUSG00000000378",387.754806720573,0.0188491815874345,0.104013834150473,0.64650699434384,0.999967202106179
"61","Wap","ENSMUSG00000000381",1.76104365270787,0.000775000384263187,0.110995812030171,0.898900524264723,NA
"62","Tbrg4","ENSMUSG00000000384",704.568246170379,0.00945527579179331,0.106669382298383,0.766585180062799,0.999967202106179
"63","Tmprss2","ENSMUSG00000000385",60.5235043669531,0.0582176671154951,0.131318902588718,0.0300336230409837,0.493208403376154
"64","Mx1","ENSMUSG00000000386",1.15444346263731,0.00543473489417593,0.111235225969112,0.263153005191768,NA
"65","Fap","ENSMUSG00000000392",35.8439799283694,-0.00391139362822015,0.110568803235946,0.745603511195346,0.999967202106179
"66","Ndufa9","ENSMUSG00000000399",534.296583415776,0.0281849109453647,0.107339646277321,0.467634971699695,0.999967202106179
"67","Egfl6","ENSMUSG00000000402",15.424822595742,-0.0145395725100981,0.11087982642365,0.439907461866275,0.999967202106179
"68","Lck","ENSMUSG00000000409",8.56394501783512,0.0109216110254314,0.110964715622642,0.459260895903934,0.999967202106179
"69","Tssk3","ENSMUSG00000000411",10.3399041856995,0.0062522299004418,0.110915989618149,0.554467972619956,0.999967202106179
"70","Cttnbp2","ENSMUSG00000000416",1058.5190215012,-0.0241096153518892,0.106064620272303,0.539529256964574,0.999967202106179
"71","Galnt1","ENSMUSG00000000420",1188.11913659632,-0.00387237683851383,0.10413522282579,0.913189589553168,0.999967202106179
"72","Mkrn2","ENSMUSG00000000439",654.82668397184,-0.000941861465101137,0.105605316694944,0.979061130023942,0.999967202106179
"73","Pparg","ENSMUSG00000000440",2.67435020093202,0.00209733703663274,0.110999275105261,0.746818498608469,NA
"74","Raf1","ENSMUSG00000000441",783.488956781515,0.00279740437395682,0.10200276783971,0.94661345680383,0.999967202106179
